id,brand,year,age,ebony,length,restored,electronics,unique,price
22,steinway,1987,34,1,274,1,0,1,75000
27,steinway,1963,58,1,274,1,0,0,64500
29,steinway,1980,41,1,274,1,0,1,62000
47,steinway,1876,145,1,274,1,0,1,49900
67,steinway,1908,113,1,274,1,0,0,41750
100,steinway,1978,43,1,274,1,0,0,34000
153,steinway,1885,136,1,274,0,0,0,21500
254,yamaha,2001,20,1,170,0,0,0,10400
220,yamaha,1948,73,0,173,1,0,1,13500
245,yamaha,1976,45,1,183,0,0,0,9999
99,yamaha,1998,23,1,212,0,0,1,34000
217,yamaha,2004,17,0,160,0,0,0,14000
199,yamaha,1968,53,0,185,0,0,0,15500
200,yamaha,2004,17,1,161,0,0,0,14995
219,yamaha,2000,21,0,161,0,1,0,13999
207,yamaha,1997,24,1,173,0,0,0,15000
231,yamaha,1996,25,1,173,0,0,0,11885
209,yamaha,1984,37,1,186,0,0,0,14900
221,yamaha,1992,29,0,186,0,0,0,13500
224,yamaha,1980,41,0,186,0,0,1,13000
239,yamaha,1975,46,1,186,0,0,0,11900
110,yamaha,2010,11,1,200,0,0,0,29995
198,yamaha,1987,34,1,200,1,0,0,15990
112,yamaha,2006,15,1,212,0,0,0,29500
157,yamaha,2002,19,1,212,0,0,0,20900
60,yamaha,1974,47,1,227,0,0,1,45000
118,yamaha,1988,33,1,227,0,0,1,24999
128,yamaha,1984,37,1,227,0,0,0,22500
144,yamaha,1952,69,1,227,0,1,0,22700
145,yamaha,2000,21,1,227,0,1,0,22450
148,yamaha,1878,143,1,227,1,0,0,22000
151,yamaha,1978,43,1,227,1,0,0,21950
240,yamaha,1982,39,1,227,0,0,0,11900
156,yamaha,1983,38,1,227,0,1,0,21000
28,yamaha,2008,13,1,274,1,0,0,64000
95,yamaha,1987,34,1,274,0,0,0,35000
184,yamaha,2003,18,1,173,0,1,0,17500
237,yamaha,1987,34,1,160,0,0,0,12000
243,yamaha,1980,41,0,173,0,0,0,11500
249,yamaha,1977,44,1,173,0,0,0,10990
214,yamaha,1989,32,0,183,0,1,0,14750
1,yamaha,2010,11,1,161,0,0,1,1000000
230,yamaha,2011,10,1,161,0,0,0,12500
242,yamaha,2003,18,1,161,0,0,0,11500
